idgrupo,Descripcion,Cuatrimestre
qp96Y4dxipekBuPJ6,DIPLOMADO DE HABILIDADES GERENCIALES,4
nwLcZbKQ9pGNKij24,Diplomado de Titulacion,6
tvpZbZu7pWPz8srby,DIPLOMADO EN COCINA INTERNACIONAL,1
svQDemFmrjy5yzXKn,Gastronomia internacional,6
2B3RpkbyTDg277dxE,ING EN SISTEMAS COMPUTACIONALES_Mixto,3
7CQjkXLyg99Hizqsq,ING GESTIoN EMPRESARIAL,6
k8vKEuftq82SiyjJk,ING. EN GESTIoN EMPRESARIAL,2
bWLrf4SKG9vc48Pzb,ING. SISTEMAS COMPUTACIONALES,3
hHR5SyaqBz4NA9uyW,INGENIERIA EN GESTIO EMPRESARIAL,1
6L4RQZQizYG7bJdBq,INGENIERIA EN SISTEMAS COMPUTACIONALES,3
h4tGhyesJWBseapna,LIC EN ADMINISTRACIoN DE EMPRESAS,4
ooP8qRcJ9k6pYRqxD,LIC EN DERECHO,4
yZJocQGE9BXFrnpJH,LIC. ADMINISTRACIoN,2
Mf7Koka5nizf4bFT9,LIC. CONTABILIDAD FINANCIERA,5
JdpEsjdku9aZiP9N5,LIC. EN ADMINISTRACION,6
mnqrxbJaBmWFqBb9M,Lic. en Contabilidad Financiera,3
DJtrfQmwoWieCMt9P,LIC. PSICOLOGiA ORGANIZACIONAL,6
6WNTRgqFvQyYq8ucZ,LIC. PSICOLOGiA ORGANIZACIONAL,5
APkZdyLn9QrF7nxzj,Licenciatura  en Contabilidad Financiera,1
6r284agJxzb37oxSt,LICENCIATURA EN ADMINISTRACION,2
CJuQ7hSsn6oRKtQgf,Licenciatura en Administracion,5
Bnte73tk64Y7JAXBf,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS MIXTA,6
qXoyvzKSLiMXY8vnn,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS MIXTA,4
zLy3MFjyPBudF49NF,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,5
FSnkqm4SyqB6rG9Dv,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,5
Je8rt2JznK8pyRQcE,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,6
XMQojrAX5XXsfX7Tu,Licenciatura en Administracion de Empresas,5
xmyuT43RuiNtB9TCS,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS ESCOLARIZADA,5
xFf9qn8AXqBoMNECC,Licenciatura en Administracion de Empresas Semi-Escolarizada,3
39oGGTuzDDMtfqSoi,Licenciatura en Administracion de Empresas Semi-Escolarizada,3
aYcvaR8YsFNs9XbXD,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,3
x6EM8dRMbRTWYp8aw,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,5
WSPc2wmnniHqtLJ2t,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,4
in4ap97WN8vbYhiJP,Licenciatura en Comercio Exterior y Administracion de Aduanas,3
aaMCPtPZ3EtxiDBuG,Licenciatura en Contabilidad Financiera,5
qscGBCykvAy36tRL3,Licenciatura en Contabilidad Financiera Escolarizada,3
5b6srYFHAhsXHQpgZ,Licenciatura en Contabilidad Financiera Semi-Escolarizada,4
DTzSgM6ru6SPpx575,LICENCIATURA EN EDUCACION,3
bZn4EM7GeyPtPyWka,LICENCIATURA EN EDUCACIoN,4
Ybk9wAuTBxp8DTP3h,LICENCIATURA EN GASTRONOMIA,1
uHBZ267NMkwMAyHJY,Licenciatura en Nutricion,3
nKhttEdW8TmXTK6Ye,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,3
Wnij75h9MiRHkopBo,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,5
G4ysAGW7jYNuHyC6z,LICENCIATURA EN PSICOLOGiA ORGANIZACIONAL,5
ymfuCr3YD5KqYo84N,LICENCIATURA EN PSICOLOGiA ORGANIZACIONAL ESCOLARIZADA,4
vsFL5YodZKkAomERz,Licenciaturas en Administracion de Empresas,1
Ho83c5TYWsfjWEWh2,Maestria en Direccion de Empresas,3
uGncbi8KJAqEqyh8c,MAESTRiA EN EDUCACIoN,2
5hpmEJdk6qRcBk3ot,MAESTRiA EN EDUCACIoN,5
PmPbEbY3kSKfdDubR,Nvo. Bach. Gral. Aduanas EA-HCS,6
gcENwtLrhW5gnxfcW,Nvo. Bach. Gral. Aduanas EA-HCS,4
MiE4CWQu75g4oDGT8,Nvo. Bach. Gral. Aduanas EA-HCS,2
JYDzX7kAbyNBD6qjz,Nvo. Bach. Gral. Aduanas FM-QB,2
uCNa6yLXxpwdwgakL,Nvo. Bach. Gral. Aduanas FM-QB,4
4ajRibFRuppiNMuCh,Nvo. Bach. Gral. Conta. EA-HCS,6
QffezTc9ifgaoJSbz,Nvo. Bach. Gral. Conta. EA-HCS,3
nvdyJ2ooac5WEEwZs,Nvo. Bach. Gral. Conta. EA-HCS,1
agmExxqr7CvKNZorN,Nvo. Bach. Gral. Conta. EA-HCS,6
7ZPeEJtSvFeBgB6v3,Nvo. Bach. Gral. Conta. EA-HCS,2
xJirHAuGMzMnNjNtx,Nvo. Bach. Gral. Conta. EA-HCS,2
ydokeBvCLPrSyKrx9,Nvo. Bach. Gral. Conta. EA-HCS,1
A9SkmdaCSaXtCLTyT,Nvo. Bach. Gral. Conta. EA-HCS,5
Xyix6R9XABFrvRgwh,PREPARATORIA ICEP,1
847zbDa3PBgAxreZm,PREPARATORIA ICEP,6
i8Em6P33dAMBxeymH,PREPARATORIA ICEP,6
7vDbbaSnSWNph4Zqg,SEMINARION DE TITULACIoN,2
f8i7NZRrre4d2eA5c,BACH. CONTA. E.A. - H.C.S.,5
QdomBoPcaqFP5Gwrv,BACH. CONTA. E.A. - H.C.S.,3
TQJrLb855fAGGATgv,BACH. CONTA. E.A. - H.C.S.,3
fTRTA5PdRFpMSrsW3,BACH. CONTA. E.A. - H.C.S.,1
oYKwJ3ASuamARF8fZ,BACH. CONTA. E.A. - H.C.S.,3
cvtvTdQcyQbXxqN9H,BACH. CONTA. E.A. - H.C.S.,6
F89jddJbsHSwAZCak,BACH. CONTA. E.A. - H.C.S.,5
vgTQE9yK9cQ5f3W3r,BACH. CONTA. E.A. - H.C.S.,6
pMYqFpJbeXkfZxgAP,BACH. CONTA. E.A. - H.C.S.,3
MHQ5yTBcx2ehzJ3Lq,BACH. CONTA. F.M. - H.C.S.,4
Jaj7xRXDEGbenHpCS,Bachillearto 2009,4
qYF6SrvofaANarjhH,Bachillerato 2009,2
xxAB85xdv6Fmn5sCd,Bachillerato 2009,6
EuK7pqz6SFhZ7B2bL,BACHILLERATO CON GASTRONOMIA,1
WjPtyQqoxwAF7H4Jp,Bachillerato con Gastronomia,3
